	Plac.mean	E2.mean	E2c_Plac
1415670_at	218.406614935287	184.491704479709	0.844716651711179
1415671_at	532.263329975901	506.463166936216	0.951527445933852
1415672_at	645.72336435286	645.675157963277	0.999925345136565
1415673_at	51.5358773032401	42.4252944926707	0.823218633555762
1415674_a_at	253.945023036984	258.163493388346	1.01661174651471
1415675_at	137.34735576972	125.436947012953	0.913282576937732
1415676_a_at	2136.31098185772	1963.25821556277	0.918994580955405
1415677_at	269.458286361039	265.397022860768	0.984928043760992
1415678_at	2048.08890014378	2134.62014843929	1.042249752093
1415679_at	1239.21800311539	1112.5442277447	0.897779264784541
1415680_at	271.644453883105	278.241310837795	1.02428489468638
1415681_at	504.803383286558	541.021529830654	1.07174703606045
1415682_at	230.900050486595	205.901695844815	0.89173517030811
1415683_at	813.89777650132	833.983554696356	1.02467850235613
1415684_at	145.455488226319	118.513546163471	0.814775348861862
1415685_at	416.856736235508	423.728400184125	1.01648447380429
1415686_at	433.233972129546	411.979702053271	0.95094043532228
1415687_a_at	1600.03323736115	1878.70202162408	1.17416437218675
1415688_at	1386.67006408775	1318.4246513103	0.950784678673841
1415689_s_at	281.062247358602	262.573819578625	0.934219455107438
1415690_at	891.025735511009	954.690939063165	1.07145158777669
1415691_at	594.545129175668	535.910026367666	0.901378213476747
1415692_s_at	1231.07073446168	1326.13733247666	1.07722269350879
1415693_at	288.270869887147	275.235391007642	0.954780450467962
1415694_at	186.508830551514	149.335790869634	0.800690189456669
1415695_at	783.246241820819	790.158738414827	1.00882544495578
1415696_at	1427.78730801009	1506.53087112696	1.05515076557629
1415697_at	396.825080832839	345.459983782495	0.870559852359782
1415698_at	115.163513909886	98.231261332242	0.852972074203175
1415699_a_at	759.535206232382	711.530706275941	0.936797531486968
1415700_a_at	1525.87848309676	1272.0464972943	0.833648623652315
1415701_x_at	5244.94844673883	5383.28874565104	1.02637591204509
1415702_a_at	1517.1570915842	1400.14933643606	0.922876967851788
1415703_at	731.086329967017	635.097130436878	0.86870333147322
1415704_a_at	2930.16166138823	3175.11738096811	1.08359802218688
1415705_at	187.21936822589	170.596905566056	0.911213979529198
1415706_at	1237.27097823891	1059.85948623831	0.856610641386644
1415707_at	271.885981915601	240.34922571908	0.884007421146447
1415708_at	229.053272853535	208.492218148236	0.910234617261084
1415709_s_at	230.508652333202	200.736459004994	0.870841319721169
1415710_at	214.947795800371	207.79994745846	0.966746119376123
1415711_at	1244.99697840274	1278.69933295513	1.02707022999818
1415712_at	475.763675120885	396.914287965348	0.834267744094793
1415713_a_at	754.036499429347	706.190019357187	0.936546201532193
1415714_a_at	1311.90501633572	1320.28546259378	1.00638799772369
1415715_at	154.435908249952	154.425958049129	0.999935570678242
1415716_a_at	3520.36106717641	3521.02308355439	1.00018805354489
1415717_at	229.510097771027	189.581331122955	0.826026100655897
1415718_at	608.981919694067	581.910773444891	0.955546880172115
1415719_s_at	389.476186727142	370.23759758052	0.950603939849857
1415720_s_at	188.258743767064	179.026894433091	0.950961909395316
1415721_a_at	288.237986702526	260.092682591968	0.902353938727703
1415722_a_at	458.674695512021	474.226314895768	1.033905553404
1415723_at	1485.98597788756	1539.38108726701	1.03593244497189
1415724_a_at	916.905296875823	799.768512255448	0.872247673757043
1415725_at	144.750597820923	113.892395157059	0.786818133200112
1415726_at	522.315294708687	456.503047797026	0.873999004857082
1415727_at	663.840677028149	609.977311720994	0.918861005100972
1415728_at	214.067160317633	186.036426929195	0.869056359009734
1415729_at	422.604381552465	447.238186514194	1.05829046275203
1415730_at	332.604321760827	329.109981468576	0.989494002141188
1415731_at	258.104256499216	249.269539958586	0.965770744502787
1415732_at	729.594342186742	688.354940547774	0.943476258991585
1415733_a_at	936.462655109135	1032.01062971708	1.10203073671615
1415734_at	2095.50809111364	1990.63408312477	0.949952945334066
1415735_at	874.397797999151	782.69828120408	0.895128376346666
1415736_at	1181.76022779737	1081.77254716234	0.915390890399664
1415737_at	826.359823339864	827.088815241288	1.0008821724881
1415738_at	121.347894215625	105.607027530875	0.870283149233883
1415739_at	349.500805491255	327.287891562892	0.93644388344931
