	control.mean	expr.mean	expr_control	expr_diff
1415670_at	218.406614935287	184.491704479709	0.844716651711179	-0.155283348288821
1415671_at	532.263329975901	506.463166936216	0.951527445933852	-0.0484725540661483
1415672_at	645.72336435286	645.675157963277	0.999925345136565	-7.46548634354971e-05
1415673_at	51.5358773032401	42.4252944926707	0.823218633555762	-0.176781366444238
1415674_a_at	253.945023036984	258.163493388346	1.01661174651471	0.0166117465147086
1415675_at	137.34735576972	125.436947012953	0.913282576937732	-0.0867174230622683
1415676_a_at	2136.31098185772	1963.25821556277	0.918994580955405	-0.0810054190445949
1415677_at	269.458286361039	265.397022860768	0.984928043760992	-0.0150719562390084
1415678_at	2048.08890014378	2134.62014843929	1.042249752093	0.042249752093005
1415679_at	1239.21800311539	1112.5442277447	0.897779264784541	-0.102220735215459
1415680_at	271.644453883105	278.241310837795	1.02428489468638	0.0242848946863794
1415681_at	504.803383286558	541.021529830654	1.07174703606045	0.0717470360604471
1415682_at	230.900050486595	205.901695844815	0.89173517030811	-0.10826482969189
1415683_at	813.89777650132	833.983554696356	1.02467850235613	0.0246785023561289
1415684_at	145.455488226319	118.513546163471	0.814775348861862	-0.185224651138138
1415685_at	416.856736235508	423.728400184125	1.01648447380429	0.0164844738042929
1415686_at	433.233972129546	411.979702053271	0.95094043532228	-0.04905956467772
1415687_a_at	1600.03323736115	1878.70202162408	1.17416437218675	0.174164372186746
1415688_at	1386.67006408775	1318.4246513103	0.950784678673841	-0.0492153213261589
1415689_s_at	281.062247358602	262.573819578625	0.934219455107438	-0.0657805448925619
1415690_at	891.025735511009	954.690939063165	1.07145158777669	0.0714515877766917
1415691_at	594.545129175668	535.910026367666	0.901378213476747	-0.0986217865232527
1415692_s_at	1231.07073446168	1326.13733247666	1.07722269350879	0.0772226935087945
1415693_at	288.270869887147	275.235391007642	0.954780450467962	-0.0452195495320384
1415694_at	186.508830551514	149.335790869634	0.800690189456669	-0.199309810543331
1415695_at	783.246241820819	790.158738414827	1.00882544495578	0.00882544495577609
1415696_at	1427.78730801009	1506.53087112696	1.05515076557629	0.05515076557629
1415697_at	396.825080832839	345.459983782495	0.870559852359782	-0.129440147640218
1415698_at	115.163513909886	98.231261332242	0.852972074203175	-0.147027925796825
1415699_a_at	759.535206232382	711.530706275941	0.936797531486968	-0.0632024685130322
1415700_a_at	1525.87848309676	1272.0464972943	0.833648623652315	-0.166351376347685
1415701_x_at	5244.94844673883	5383.28874565104	1.02637591204509	0.0263759120450895
1415702_a_at	1517.1570915842	1400.14933643606	0.922876967851788	-0.0771230321482117
1415703_at	731.086329967017	635.097130436878	0.86870333147322	-0.13129666852678
1415704_a_at	2930.16166138823	3175.11738096811	1.08359802218688	0.08359802218688
1415705_at	187.21936822589	170.596905566056	0.911213979529198	-0.0887860204708019
1415706_at	1237.27097823891	1059.85948623831	0.856610641386644	-0.143389358613356
1415707_at	271.885981915601	240.34922571908	0.884007421146447	-0.115992578853553
1415708_at	229.053272853535	208.492218148236	0.910234617261084	-0.089765382738916
1415709_s_at	230.508652333202	200.736459004994	0.870841319721169	-0.129158680278831
1415710_at	214.947795800371	207.79994745846	0.966746119376123	-0.033253880623877
1415711_at	1244.99697840274	1278.69933295513	1.02707022999818	0.0270702299981751
1415712_at	475.763675120885	396.914287965348	0.834267744094793	-0.165732255905207
1415713_a_at	754.036499429347	706.190019357187	0.936546201532193	-0.0634537984678065
1415714_a_at	1311.90501633572	1320.28546259378	1.00638799772369	0.00638799772369092
1415715_at	154.435908249952	154.425958049129	0.999935570678242	-6.44293217582081e-05
1415716_a_at	3520.36106717641	3521.02308355439	1.00018805354489	0.000188053544889932
1415717_at	229.510097771027	189.581331122955	0.826026100655897	-0.173973899344103
1415718_at	608.981919694067	581.910773444891	0.955546880172115	-0.0444531198278852
1415719_s_at	389.476186727142	370.23759758052	0.950603939849857	-0.0493960601501428
1415720_s_at	188.258743767064	179.026894433091	0.950961909395316	-0.0490380906046841
1415721_a_at	288.237986702526	260.092682591968	0.902353938727703	-0.0976460612722971
1415722_a_at	458.674695512021	474.226314895768	1.033905553404	0.0339055534040016
1415723_at	1485.98597788756	1539.38108726701	1.03593244497189	0.0359324449718896
1415724_a_at	916.905296875823	799.768512255448	0.872247673757043	-0.127752326242957
1415725_at	144.750597820923	113.892395157059	0.786818133200112	-0.213181866799888
1415726_at	522.315294708687	456.503047797026	0.873999004857082	-0.126000995142918
1415727_at	663.840677028149	609.977311720994	0.918861005100972	-0.0811389948990282
1415728_at	214.067160317633	186.036426929195	0.869056359009734	-0.130943640990266
1415729_at	422.604381552465	447.238186514194	1.05829046275203	0.0582904627520304
1415730_at	332.604321760827	329.109981468576	0.989494002141188	-0.0105059978588121
1415731_at	258.104256499216	249.269539958586	0.965770744502787	-0.0342292554972132
1415732_at	729.594342186742	688.354940547774	0.943476258991585	-0.0565237410084148
1415733_a_at	936.462655109135	1032.01062971708	1.10203073671615	0.10203073671615
1415734_at	2095.50809111364	1990.63408312477	0.949952945334066	-0.0500470546659344
1415735_at	874.397797999151	782.69828120408	0.895128376346666	-0.104871623653334
1415736_at	1181.76022779737	1081.77254716234	0.915390890399664	-0.084609109600336
1415737_at	826.359823339864	827.088815241288	1.0008821724881	0.000882172488102517
1415738_at	121.347894215625	105.607027530875	0.870283149233883	-0.129716850766117
1415739_at	349.500805491255	327.287891562892	0.93644388344931	-0.0635561165506903
1415740_at	1350.14367947681	1196.82867478511	0.88644541538637	-0.11355458461363
1415741_at	326.320259334062	297.412177901973	0.911411931667731	-0.0885880683322691
1415742_at	178.78573093281	159.390851017052	0.891518859952832	-0.108481140047168
1415743_at	398.416619973302	337.540340799585	0.847204468584177	-0.152795531415823
1415744_at	794.313457245862	718.947902196176	0.905118622425204	-0.094881377574796
1415745_a_at	330.771304264317	325.311474888593	0.983493642570151	-0.0165063574298489
1415746_at	408.331597830715	395.893874752004	0.969540140550504	-0.0304598594494963
1415747_s_at	1103.40901814704	1045.48285576621	0.947502547624536	-0.0524974523754641
1415748_a_at	216.137160201468	179.404821144672	0.830050792642245	-0.169949207357755
1415749_a_at	460.114816519588	437.116595297936	0.950016342886725	-0.0499836571132748
1415750_at	102.121120749492	89.556384560983	0.876962413883695	-0.123037586116305
1415751_at	720.570427146007	683.225915050775	0.948173682004764	-0.0518263179952357
1415752_at	446.456050671058	419.428065755302	0.939461040173762	-0.060538959826238
1415753_at	479.542523177192	403.809125029734	0.842071569282972	-0.157928430717028
1415754_at	472.694335561744	460.706654119116	0.974639676127318	-0.0253603238726817
1415755_a_at	950.279274373168	823.523103909268	0.866611664715605	-0.133388335284395
1415756_a_at	647.032230720844	590.303452947615	0.912324649252745	-0.0876753507472551
1415757_at	311.469211522641	265.123981680227	0.851204458970914	-0.148795541029086
