"df.prior" "var.prior" "var.post"
"1415670_at" 3.49143615602127 0.0111688328383084 0.00947138119800723
"1415671_at" 3.49143615602127 0.0111688328383084 0.00819352261922585
"1415672_at" 3.49143615602127 0.0111688328383084 0.00716707665926218
"1415673_at" 3.49143615602127 0.0111688328383084 0.0186351414653125
"1415674_a_at" 3.49143615602127 0.0111688328383084 0.00747207092265704
"1415675_at" 3.49143615602127 0.0111688328383084 0.00812868421430679
"1415676_a_at" 3.49143615602127 0.0111688328383084 0.00556876122976929
"1415677_at" 3.49143615602127 0.0111688328383084 0.00644460767223686
"1415678_at" 3.49143615602127 0.0111688328383084 0.0134773563219248
"1415679_at" 3.49143615602127 0.0111688328383084 0.0132451256844667
"1415680_at" 3.49143615602127 0.0111688328383084 0.0107619447188966
"1415681_at" 3.49143615602127 0.0111688328383084 0.0112271455056272
"1415682_at" 3.49143615602127 0.0111688328383084 0.0123608200771525
"1415683_at" 3.49143615602127 0.0111688328383084 0.0082217078414044
"1415684_at" 3.49143615602127 0.0111688328383084 0.0235447819409502
"1415685_at" 3.49143615602127 0.0111688328383084 0.0175928919735937
"1415686_at" 3.49143615602127 0.0111688328383084 0.00836819370723339
"1415687_a_at" 3.49143615602127 0.0111688328383084 0.053342704727159
"1415688_at" 3.49143615602127 0.0111688328383084 0.00894907298125045
"1415689_s_at" 3.49143615602127 0.0111688328383084 0.0231630281882943
"1415690_at" 3.49143615602127 0.0111688328383084 0.00765641174518919
"1415691_at" 3.49143615602127 0.0111688328383084 0.0242838793972379
"1415692_s_at" 3.49143615602127 0.0111688328383084 0.0184024464549349
"1415693_at" 3.49143615602127 0.0111688328383084 0.00580902726710812
"1415694_at" 3.49143615602127 0.0111688328383084 0.0352357162968978
"1415695_at" 3.49143615602127 0.0111688328383084 0.0137915077154206
"1415696_at" 3.49143615602127 0.0111688328383084 0.00693116776071801
"1415697_at" 3.49143615602127 0.0111688328383084 0.0175906060735124
"1415698_at" 3.49143615602127 0.0111688328383084 0.032696706497941
"1415699_a_at" 3.49143615602127 0.0111688328383084 0.0100405387753403
"1415700_a_at" 3.49143615602127 0.0111688328383084 0.0220204276087745
"1415701_x_at" 3.49143615602127 0.0111688328383084 0.0132591170283966
"1415702_a_at" 3.49143615602127 0.0111688328383084 0.00707252112037567
"1415703_at" 3.49143615602127 0.0111688328383084 0.00704221507192333
"1415704_a_at" 3.49143615602127 0.0111688328383084 0.0259299225050717
"1415705_at" 3.49143615602127 0.0111688328383084 0.00952838917211833
"1415706_at" 3.49143615602127 0.0111688328383084 0.017950039338749
"1415707_at" 3.49143615602127 0.0111688328383084 0.00981766526505399
"1415708_at" 3.49143615602127 0.0111688328383084 0.0111007086533243
"1415709_s_at" 3.49143615602127 0.0111688328383084 0.0139865632709113
"1415710_at" 3.49143615602127 0.0111688328383084 0.00655244224824464
"1415711_at" 3.49143615602127 0.0111688328383084 0.0161960045274279
